customer_id,customer_age_years,customer_tenure_months,customer_avg_price,customer_total_spend,customer_std_price,customer_num_purchases,customer_n_categories,customer_top_1_cat,customer_top_2_cat,customer_top_3_cat,customer_preferred_device,customer_gender,customer_avg_views,customer_max_price,customer_min_price
CUST_0001,20,7,1288.774,6443.87,86.28334561200094,5,2,blouse,skirt,blouse,mobile,unknown,3.8,1358.17,1160.33
CUST_0002,27,9,1296.13,1296.13,0.0,1,1,dress,dress,dress,desktop,female,4.0,1296.13,1296.13
CUST_0003,23,7,1299.399,12993.99,91.00618665783114,10,3,dress,blouse,skirt,mobile,unknown,4.8,1454.15,1181.2
CUST_0004,25,13,1281.76,7690.5599999999995,126.62465289192316,6,3,skirt,dress,blouse,mobile,female,5.666666666666667,1485.13,1143.11
CUST_0005,22,10,1270.4163636363637,13974.58,60.44568955231246,11,3,blouse,dress,skirt,mobile,unknown,5.545454545454546,1367.76,1167.06
CUST_0006,21,13,1316.02,5264.08,134.15479491989836,4,3,dress,blouse,skirt,mobile,female,7.25,1500.0,1202.53
CUST_0007,26,0,1226.3838461538462,15942.99,96.44434695187869,13,3,dress,skirt,blouse,mobile,female,4.769230769230769,1370.82,1066.11
CUST_0008,21,7,1245.42,9963.36,138.2810506592591,8,3,blouse,dress,skirt,mobile,unknown,5.0,1500.0,1093.55
CUST_0009,26,8,1230.435,7382.61,68.9704205438823,6,3,blouse,dress,skirt,mobile,female,7.166666666666667,1340.52,1154.7
CUST_0010,24,2,1244.81,11203.289999999999,124.41964203854627,9,3,dress,skirt,blouse,mobile,unknown,5.666666666666667,1500.0,1035.35
CUST_0011,26,3,1238.86625,9910.93,85.69419815958538,8,3,dress,skirt,blouse,mobile,male,5.75,1325.62,1054.67
CUST_0012,24,1,1235.749,12357.49,110.45832652583903,10,3,dress,blouse,skirt,mobile,unknown,6.0,1397.35,1000.0
CUST_0013,21,6,1080.3066666666666,3240.92,63.54822604395294,3,3,blouse,dress,skirt,mobile,unknown,6.666666666666667,1153.01,1035.35
CUST_0014,23,8,1200.7116666666666,7204.2699999999995,93.65644738439882,6,3,dress,skirt,blouse,mobile,unknown,6.0,1333.37,1109.22
CUST_0015,21,4,1260.882,12608.82,136.23744939544997,10,3,dress,skirt,blouse,mobile,unknown,4.5,1500.0,1015.16
CUST_0016,26,8,1368.594,6842.97,90.74728359570882,5,2,dress,blouse,dress,mobile,female,4.8,1500.0,1248.79
CUST_0017,22,5,1271.9116666666666,15262.94,118.5492878574779,12,3,blouse,skirt,dress,mobile,female,4.916666666666667,1500.0,1035.35
CUST_0018,22,5,1244.301111111111,11198.71,130.8235555475814,9,3,dress,skirt,blouse,mobile,unknown,5.444444444444445,1500.0,1065.04
CUST_0019,27,4,1289.719090909091,14186.91,106.43045235782343,11,3,skirt,dress,blouse,mobile,female,4.090909090909091,1500.0,1093.55
CUST_0020,22,13,1315.5614285714287,9208.93,124.59954286012601,7,3,dress,skirt,blouse,mobile,unknown,5.428571428571429,1500.0,1143.79
CUST_0021,21,4,1272.5223076923078,16542.79,107.38457618561476,13,3,blouse,dress,skirt,mobile,female,4.769230769230769,1447.81,1035.35
CUST_0022,27,5,1262.7275,5050.91,109.41493236757042,4,2,blouse,skirt,blouse,mobile,female,4.75,1397.35,1141.36
CUST_0023,23,6,1211.0366666666666,7266.22,137.79700848228413,6,2,skirt,dress,skirt,mobile,unknown,5.166666666666667,1386.13,1000.0
CUST_0024,26,5,1253.7457142857143,17552.44,117.34652698569481,14,3,skirt,dress,blouse,mobile,female,6.142857142857143,1454.15,1065.04
CUST_0025,23,13,1218.565,4874.26,108.58610638566988,4,2,dress,blouse,dress,mobile,unknown,5.0,1310.13,1066.11
CUST_0026,25,4,1250.81,8755.67,122.22837272908446,7,3,dress,skirt,blouse,mobile,male,6.142857142857143,1447.81,1092.7
CUST_0027,19,14,1224.3685714285714,8570.58,100.39247040632932,7,3,dress,blouse,skirt,mobile,female,4.285714285714286,1333.37,1035.35
CUST_0028,25,11,1243.88,2487.76,128.50958641284308,2,2,skirt,dress,skirt,mobile,female,6.5,1334.75,1153.01
CUST_0029,21,13,1301.2714285714285,9108.9,89.3802768006029,7,3,blouse,skirt,dress,mobile,unknown,5.857142857142857,1470.94,1225.82
